Country Name,Kuwait,Bermuda,Iceland,Liechtenstein,Faroe Islands,Qatar,Luxembourg,Aruba,Denmark,Monaco,Norway,Bahrain,Sweden,"Korea, Rep.",Brunei Darussalam,United Arab Emirates,United Kingdom,Netherlands,Andorra,Canada
1990,0,0,0,0,0,0,0,0,0.097277268,0,0.707299448,0,0.584192066,0.023265092,0,0,0.087355319,0.334386942,0,0.360999701
1991,0,0,0.505129002,0,0,0,0,0,0.194056515,0,1.407395158,0,1.160519453,0.046124435,0,0,0.174230922,0.531496128,0,0.570385926
1992,0,0,1.53916008,0,0,0,0.153198791,0,0.386913951,0,2.216365832,0,1.497871352,0.098404337,0,0,0.260615159,1.320008028,0,0.91598104
1993,0.091082245,0,2.667825265,0,0,0,0.302155121,0,0.578329976,0,2.783990846,0,1.716364182,0.249946523,0,0,0.519762001,1.967087737,0,1.184557509
1994,0.147162703,0,6.794811784,0,0,0,0.496486119,0,1.34430775,0,4.152450292,0,3.412810096,0.311359364,0,0,1.036609166,3.257308831,0,2.378693853
1995,0.202898433,6.838163465,11.2158757,0,0,0.190209535,1.590941911,0,3.82565642,0,6.423220493,0.346205844,5.098024244,0.81968667,1.017080166,0.102939175,1.895168284,6.47315766,0,4.163525253
1996,0.855662317,16.20246602,14.80647932,0,2.318786811,0.930185833,5.551653306,2.768382663,5.714987841,0,18.25031077,0.843254219,9.04359976,1.624237192,3.303349927,0.375393534,4.123650336,9.649069145,1.526601023,6.76023965
1997,2.174535859,24.18925674,27.47886875,0,4.601297566,3.083749186,7.142704085,0,11.38200494,0,20.41788144,1.646299202,23.72794756,3.600801564,4.831057905,3.295592694,7.385398957,14.0655114,3.050175385,15.07235736
1998,3.052397455,32.10375935,36.2642065,0,11.33786848,3.52002985,11.74555372,0,22.66874615,0,22.56011255,3.218202151,33.46751233,6.781815468,6.284742844,6.908302986,13.6699831,22.24382769,6.886209218,24.8974003
1999,4.756222209,39.94758876,41.29456671,0,22.29753835,4.070728915,17.3879578,4.506179098,30.59204065,0,40,4.720358118,41.43278316,23.55219445,7.671041206,14.94269899,21.29363827,39.17600725,7.635686143,36.18644004
2000,6.73139576837536,42.9498600152711,44.470533824288,36.5152298938015,32.916392363397,4.86367917875156,22.8873279731211,15.4428229480349,39.1724308555053,42.1848634460346,52,6.15373254647607,45.6876522122282,44.7,8.99628453448726,23.6253008751553,26.8217543508578,43.984351373138,10.53883560922,51.3
2001,8.55179243431475,47.5096998970623,49.3929953676426,45.1168526483592,43.2469835228993,6.17026856093911,36.163422506306,17.1,42.9575247201878,46.6461423640265,64,15.0386342513918,51.7656649372808,56.6,12.9177690823013,26.2717542010006,33.4810948744147,49.3730621073123,0,60.2
2002,10.2489679289296,52.0315973700393,79.12,59.4707106749926,53.2992218313613,10.2261289281118,39.84,18.8,64.25,48.0471171729696,72.84,18.0507208881153,70.57,59.4,15.329879855735,28.3164853110439,56.48,61.29,11.2604687170103,61.5932992681952
2003,22.4029383804612,56.5220121836337,83.14,58.8096918372148,58.9126409695337,19.242336421002,54.55,20.8,76.26,49.4911689195459,78.13,21.5549449917804,79.13,65.5,19.5950032207342,29.4779534120864,64.82,64.35,13.546412876439,64.2
2004,22.9271120360078,60.9908670086326,83.88,64.0074481394199,66.5335994677312,20.701647851169,65.88,23,80.93,52.4901966838546,77.69,21.4586805077435,83.89,72.7,29.7156041447864,30.1312961695367,65.61,68.52,26.8379543894637,65.9559634648989
2005,25.9261083689107,65.4470657898838,87,63.3713561470216,67.9026317413939,24.733493781051,70,25.4,82.74,55.4648260561427,81.99,21.3037335136591,84.83,73.5,36.4663919475782,40,70,81,37.6057662174867,71.66
2006,28.7911979549612,69.8996551617012,89.51,64.2141613630526,69.359445124439,28.9741127135829,72.51,28,86.65,61.4760397135217,82.55,28.2439524318043,87.76,78.1,42.1863491609307,52,68.82,83.7,48.9368469989479,72.4
2007,34.8,74.3505940302669,90.6,65.080218443168,75.98,37,78.92,30.9,85.03,64.3776824034335,86.93,32.91,82.01,78.8,44.68,61,75.09,85.82,70.87,73.2
2008,42,82.3,91,70,75.57,44.3,82.23,52,85.02,67.25,90.57,51.95,90,81,46,63,78.39,87.42,70.04,76.7
2009,50.8,83.25,93,75,75.18,53.1,87.31,58,86.84,70.1,92.08,53,91,81.6,49,64,83.56,89.63,78.53,80.3
2010,61.4,84.21,93.39,80,75.2,69,90.62,62,88.72,75,93.39,55,90,83.7,53,68,85,90.72,81,80.3
2011,65.7690706867398,88.336,94.8196868008949,85,80.7321728,69,90.0298585646936,69,89.8100133895232,80.3,93.4899826515194,76.9999665032303,92.7699860554046,83.7591201534472,56,78,85.3799985496322,91.4199957622284,81,83
2012,70.45,91.2993045243401,96.2097995545657,89.4077,85.3351892392109,69.3,91.9499237417387,74,92.2600117153012,87,94.6499780533304,88,93.1799880065108,84.07,60.2730650423193,84.9999915049492,87.4799984242111,92.859992359525,86.4344246167258,83
2013,75.46,95.3,96.5468,93.8,90,85.3,93.7765,78.9,94.6297,90.7,95.0534,90.0000397,94.7836,84.77,64.5,88,89.8441,93.9564,94,85.8
2014,78.7,96.8,98.16,95.21,93.3,91.49,94.67,83.78,95.99,92.4,96.3,90.5031334814656,92.52,87.5568264944747,68.77,90.4,91.61,91.666666,95.9,87.12
2015,72,98.3236096537251,98.2,96.6411950959488,94.2,92.8848264535481,96.38,88.661226932496,96.3305,93.3633020180933,96.8103,93.4783011354165,90.6102,89.9,71.2,90.5,92.0003,91.7241379310345,96.91,90
2016,78.36738376,98,98.2400162999185,98.0939038921672,95.1086816720257,95.1246621661148,98.13669867,93.542453865048,96.96778525,95.2081779700534,97.29820367,97.9999807,89.65094761,92.84302568,90,90.60000732,94.77580063,90.4109589,97.9306371220021,91.16
2017,100,98.37,98.26,98.1,97.5819589384468,97.3888491654164,97.36296032,97.17,97.09936216,97.0529768369275,96.3576013,95.87813575,95.51006745,95.06942188,94.8666916411293,94.81992254,94.62,93.19727891,91.5674670273926,91
